"last_name, first_name","player_id","oaa","n_fieldout_5stars","n_opp_5stars","n_5star_percent","n_fieldout_4stars","n_opp_4stars","n_4star_percent","n_fieldout_3stars","n_opp_3stars","n_3star_percent","n_fieldout_2stars","n_opp_2stars","n_2star_percent","n_fieldout_1stars","n_opp_1stars","n_1star_percent"
"Margot, Manuel",622534,"17","7","23","30.4","7","11","63.6","10","11","90.9","21","21","100.0","25","26","96.2"
"Bader, Harrison",664056,"14","5","21","23.8","5","5","100.0","9","11","81.8","19","20","95.0","31","31","100.0"
"Taylor, Michael A.",572191,"14","6","33","18.2","3","6","50.0","17","21","81.0","29","32","90.6","42","43","97.7"
"McCormick, Chas",676801,"12","3","14","21.4","5","5","100.0","7","7","100.0","16","16","100.0","15","15","100.0"
"Kiermaier, Kevin",595281,"12","6","15","40.0","3","5","60.0","5","7","71.4","23","23","100.0","25","26","96.2"
"Mullins, Cedric",656775,"11","3","38","7.9","4","6","66.7","12","14","85.7","26","29","89.7","27","28","96.4"
"Reynolds, Bryan",668804,"11","2","28","7.1","7","12","58.3","10","12","83.3","30","32","93.8","26","26","100.0"
"Phillips, Brett",621433,"10","4","14","28.6","4","5","80.0","6","10","60.0","13","13","100.0","17","17","100.0"
"Hernández, Enrique",571771,"10","8","14","57.1","4","5","80.0","5","5","100.0","12","17","70.6","22","23","95.7"
"García, Adolis",666969,"9","3","28","10.7","3","6","50.0","14","17","82.4","30","34","88.2","35","36","97.2"
"Straw, Myles",664702,"9","3","28","10.7","2","10","20.0","17","20","85.0","35","38","92.1","28","30","93.3"
"Zimmer, Bradley",605548,"9","2","10","20.0","3","3","100.0","8","8","100.0","6","6","100.0","18","18","100.0"
"Kepler, Max",596146,"8","3","19","15.8","2","4","50.0","9","9","100.0","16","18","88.9","16","16","100.0"
"Buxton, Byron",621439,"7","3","10","30.0","2","3","66.7","3","3","100.0","14","15","93.3","14","14","100.0"
"Heredia, Guillermo",628338,"6","2","15","13.3","3","4","75.0","7","9","77.8","15","17","88.2","14","14","100.0"
"Herrera, Odúbel",546318,"5","1","16","6.3","2","9","22.2","10","12","83.3","12","13","92.3","19","19","100.0"
"Robert Jr., Luis",673357,"5","1","14","7.1","1","1","100.0","9","11","81.8","12","12","100.0","13","13","100.0"
"Hampson, Garrett",641658,"5","1","17","5.9","1","2","50.0","8","11","72.7","16","16","100.0","22","23","95.7"
"O'Neill, Tyler",641933,"5","2","17","11.8","5","7","71.4","10","12","83.3","15","18","83.3","19","22","86.4"
"Grisham, Trent",663757,"5","4","23","17.4","4","8","50.0","12","14","85.7","20","27","74.1","26","27","96.3"
"Gallo, Joey",608336,"5","2","30","6.7","2","4","50.0","10","14","71.4","13","13","100.0","28","29","96.6"
"Brown, Seth",664913,"5","1","12","8.3","1","2","50.0","4","5","80.0","10","10","100.0","20","21","95.2"
"Cain, Lorenzo",456715,"5","4","10","40.0","1","1","100.0","5","6","83.3","7","11","63.6","12","12","100.0"
"Peralta, David",444482,"4","1","23","4.3","2","5","40.0","6","7","85.7","25","28","89.3","30","30","100.0"
"Heyward, Jason",518792,"4","3","17","17.6","2","6","33.3","7","12","58.3","14","15","93.3","9","9","100.0"
"Duvall, Adam",594807,"4","3","22","13.6","3","7","42.9","9","14","64.3","28","32","87.5","19","20","95.0"
"Daza, Yonathan",602074,"4","1","11","9.1","2","4","50.0","6","7","85.7","12","14","85.7","14","14","100.0"
"Nimmo, Brandon",607043,"4","0","12","0.0","1","3","33.3","8","10","80.0","15","17","88.2","14","14","100.0"
"Duggar, Steven",621453,"4","2","20","10.0","1","1","100.0","6","7","85.7","9","10","90.0","21","22","95.5"
"Soto, Juan",665742,"4","1","21","4.8","2","4","50.0","7","11","63.6","20","21","95.2","24","26","92.3"
"Slater, Austin",596103,"3","1","13","7.7","2","3","66.7","8","8","100.0","8","10","80.0","13","14","92.9"
"Tucker, Kyle",663656,"3","2","21","9.5","4","6","66.7","8","13","61.5","18","20","90.0","28","28","100.0"
"Grichuk, Randal",545341,"3","0","17","0.0","3","5","60.0","6","8","75.0","23","26","88.5","9","9","100.0"
"Bradley Jr., Jackie",598265,"3","1","14","7.1","0","3","0.0","6","8","75.0","12","15","80.0","27","27","100.0"
"Yastrzemski, Mike",573262,"3","1","17","5.9","2","4","50.0","11","13","84.6","20","23","87.0","19","21","90.5"
"Robles, Victor",645302,"2","3","17","17.6","3","7","42.9","5","7","71.4","13","16","81.3","19","21","90.5"
"Tapia, Raimel",606132,"2","3","19","15.8","1","5","20.0","5","8","62.5","13","15","86.7","15","16","93.8"
"Marsh, Brandon",669016,"2","1","11","9.1","1","3","33.3","3","4","75.0","16","18","88.9","19","19","100.0"
"Bellinger, Cody",641355,"2","1","13","7.7","1","5","20.0","6","9","66.7","10","12","83.3","16","16","100.0"
"Lagares, Juan",501571,"1","1","13","7.7","2","6","33.3","4","6","66.7","13","14","92.9","11","12","91.7"
"Canha, Mark",592192,"1","2","23","8.7","0","7","0.0","6","14","42.9","21","22","95.5","23","23","100.0"
"Conforto, Michael",624424,"1","1","18","5.6","2","2","100.0","8","13","61.5","8","12","66.7","17","17","100.0"
"Yelich, Christian",592885,"1","0","12","0.0","0","3","0.0","3","4","75.0","14","15","93.3","17","17","100.0"
"Arozarena, Randy",668227,"1","1","15","6.7","0","3","0.0","6","12","50.0","15","17","88.2","21","21","100.0"
"Marte, Starling",516782,"1","2","23","8.7","1","7","14.3","7","10","70.0","22","24","91.7","18","20","90.0"
"Myers, Wil",571976,"0","0","12","0.0","1","4","25.0","6","9","66.7","18","22","81.8","25","25","100.0"
"Benintendi, Andrew",643217,"0","0","26","0.0","2","2","100.0","9","14","64.3","20","25","80.0","22","24","91.7"
"Hernández, Teoscar",606192,"0","2","29","6.9","3","6","50.0","8","12","66.7","10","13","76.9","20","22","90.9"
"Judge, Aaron",592450,"0","1","18","5.6","7","9","77.8","5","13","38.5","15","20","75.0","25","27","92.6"
"Pollock, AJ",572041,"0","0","19","0.0","0","4","0.0","3","8","37.5","11","11","100.0","17","17","100.0"
"Hays, Austin",669720,"0","0","17","0.0","0","4","0.0","4","6","66.7","18","20","90.0","26","27","96.3"
"Gardner, Brett",458731,"0","2","24","8.3","3","6","50.0","6","12","50.0","15","19","78.9","20","21","95.2"
"Taylor, Chris",621035,"0","1","10","10.0","2","5","40.0","3","4","75.0","8","10","80.0","13","14","92.9"
"Betts, Mookie",605141,"-1","3","20","15.0","3","6","50.0","6","12","50.0","16","19","84.2","16","17","94.1"
"Pillar, Kevin",607680,"-1","0","13","0.0","1","6","16.7","2","2","100.0","9","11","81.8","17","17","100.0"
"Baddoo, Akil",668731,"-1","1","22","4.5","1","4","25.0","6","11","54.5","15","19","78.9","15","16","93.8"
"Polanco, Gregory",570256,"-1","0","19","0.0","1","4","25.0","2","7","28.6","12","12","100.0","23","25","92.0"
"Laureano, Ramón",657656,"-1","3","19","15.8","0","1","0.0","7","11","63.6","13","16","81.3","17","20","85.0"
"Brantley, Michael",488726,"-2","1","15","6.7","2","4","50.0","2","6","33.3","7","11","63.6","20","20","100.0"
"Kelenic, Jarred",672284,"-2","1","29","3.4","1","3","33.3","9","14","64.3","13","16","81.3","14","14","100.0"
"Rosario, Eddie",592696,"-2","1","13","7.7","1","4","25.0","9","12","75.0","12","17","70.6","23","26","88.5"
"Ortega, Rafael",542364,"-2","1","12","8.3","1","5","20.0","4","7","57.1","9","11","81.8","12","15","80.0"
"García, Avisaíl",541645,"-2","0","14","0.0","0","4","0.0","6","8","75.0","19","24","79.2","18","20","90.0"
"Renfroe, Hunter",592669,"-3","0","30","0.0","2","7","28.6","6","12","50.0","16","17","94.1","37","38","97.4"
"Bryant, Kris",592178,"-3","1","14","7.1","0","3","0.0","3","6","50.0","6","8","75.0","12","13","92.3"
"Grossman, Robbie",543257,"-3","1","27","3.7","2","9","22.2","6","12","50.0","26","32","81.3","26","29","89.7"
"Happ, Ian",664023,"-4","1","16","6.3","0","5","0.0","1","7","14.3","13","15","86.7","14","14","100.0"
"Santander, Anthony",623993,"-4","0","17","0.0","1","2","50.0","3","5","60.0","14","18","77.8","17","20","85.0"
"Smith, Pavin",656976,"-4","0","11","0.0","0","6","0.0","7","13","53.8","9","12","75.0","21","23","91.3"
"Marte, Ketel",606466,"-4","1","13","7.7","0","2","0.0","2","5","40.0","17","21","81.0","15","18","83.3"
"Carlson, Dylan",666185,"-4","0","22","0.0","2","6","33.3","9","15","60.0","19","23","82.6","21","24","87.5"
"Pederson, Joc",592626,"-5","0","25","0.0","1","3","33.3","1","9","11.1","15","16","93.8","18","20","90.0"
"Verdugo, Alex",657077,"-5","0","25","0.0","3","7","42.9","6","11","54.5","18","21","85.7","19","22","86.4"
"Pham, Tommy",502054,"-5","0","28","0.0","1","5","20.0","2","7","28.6","14","16","87.5","18","20","90.0"
"Soler, Jorge",624585,"-6","0","19","0.0","0","5","0.0","0","6","0.0","11","14","78.6","10","11","90.9"
"Vaughn, Andrew",683734,"-6","0","14","0.0","0","2","0.0","6","8","75.0","7","11","63.6","21","24","87.5"
"Harper, Bryce",547180,"-6","3","22","13.6","2","5","40.0","5","14","35.7","13","15","86.7","20","25","80.0"
"Ramírez, Harold",623912,"-6","0","16","0.0","1","2","50.0","6","10","60.0","17","24","70.8","13","14","92.9"
"Schwarber, Kyle",656941,"-6","0","15","0.0","0","1","0.0","1","5","20.0","7","9","77.8","15","17","88.2"
"McCutchen, Andrew",457705,"-7","1","18","5.6","2","4","50.0","2","9","22.2","9","12","75.0","24","28","85.7"
"Castellanos, Nick",592206,"-7","0","32","0.0","1","5","20.0","5","10","50.0","9","12","75.0","17","19","89.5"
"Winker, Jesse",608385,"-7","0","17","0.0","0","2","0.0","6","12","50.0","7","11","63.6","13","15","86.7"
"Naquin, Tyler",571980,"-7","1","19","5.3","0","4","0.0","3","8","37.5","6","9","66.7","16","18","88.9"
"Gurriel Jr., Lourdes",666971,"-8","0","14","0.0","0","2","0.0","6","8","75.0","14","19","73.7","21","26","80.8"
"Haniger, Mitch",571745,"-8","0","22","0.0","1","9","11.1","9","11","81.8","22","30","73.3","20","22","90.9"
"Blackmon, Charlie",453568,"-8","1","20","5.0","1","9","11.1","2","8","25.0","11","18","61.1","23","23","100.0"
"Smith, Dominic",642086,"-9","0","16","0.0","0","3","0.0","1","7","14.3","7","8","87.5","10","14","71.4"
"Gamel, Ben",592325,"-10","0","22","0.0","0","5","0.0","1","7","14.3","8","15","53.3","23","23","100.0"