"last_name, first_name","resp_fielder_id","year","outs_above_average","outs_per_play","rel_league_burst_distance","rel_league_reaction_distance","rel_league_routing_distance","rel_league_bootup_distance","f_bootup_distance","n","n_outs"
"Acuña Jr., Ronald","660670","2018","4","51.1","0.9","-0.4","0.3","0.8","33.5","45","23"
"Allen, Greg","656185","2018","1","43.9","-0.8","-0.5","-0.7","-2","30.9","41","18"
"Almora Jr., Albert","546991","2018","8","70.3","0.8","0.8","-0.1","1.4","35.6","64","45"
"Anderson, Brian","605119","2018","-1","37","-0.4","0","0.3","-0.1","32.8","46","17"
"Bader, Harrison","664056","2018","16","76","2.5","1.3","-0.6","3.2","36.6","75","57"
"Bautista, José","430832","2018","-5","36.4","-1.9","-0.4","0.8","-1.5","31.7","33","12"
"Benintendi, Andrew","643217","2018","1","45.8","-0.7","-1.2","0.8","-1.2","31.1","72","33"
"Betts, Mookie","605141","2018","8","58.8","0.5","0.2","0.2","0.9","34","68","40"
"Blackmon, Charlie","453568","2018","-9","26.5","-1","-1.6","0.4","-2.1","31.5","83","22"
"Bradley Jr., Jackie","598265","2018","9","54.9","1.1","2.9","-2.3","1.7","35.5","82","45"
"Brantley, Michael","488726","2018","-3","39.3","-1.4","-1","0.4","-2.1","30.3","56","22"
"Braun, Ryan","460075","2018","0","41","-1.1","1.3","-0.8","-0.6","32.8","39","16"
"Brinson, Lewis","621446","2018","0","52.3","0.7","-1","0.6","0.3","34.5","65","34"
"Bruce, Jay","457803","2018","-2","41.2","-2.4","1.3","-1","-2.1","31.3","34","14"
"Cain, Lorenzo","456715","2018","17","70","1.3","1","-0.3","2","35.8","80","56"
"Calhoun, Kole","594777","2018","0","43.9","-0.5","0.4","-0.3","-0.4","32.6","57","25"
"Canha, Mark","592192","2018","2","52.3","-0.3","0.9","0.1","0.7","33.8","44","23"
"Castellanos, Nick","592206","2018","-20","14.9","-1.6","-0.9","-0.1","-2.7","29.4","74","11"
"Cave, Jake","595909","2018","2","47.7","0.3","0.3","-0.2","0.4","33.8","44","21"
"Conforto, Michael","624424","2018","6","56","-0.1","1.6","-1.2","0.2","33.8","50","28"
"DeShields, Delino","592261","2018","11","64.8","0.9","-1.3","0.5","0.5","34.1","88","57"
"Dickerson, Corey","572816","2018","8","63.9","0.9","1.2","0.3","2.4","35.9","61","39"
"Duvall, Adam","594807","2018","5","58.3","0.7","1","-0.5","1.2","35","48","28"
"Eaton, Adam","594809","2018","-4","25","-1.8","0.8","-0.8","-1.9","31.3","40","10"
"Engel, Adam","641553","2018","11","60.5","1.9","-0.6","0.3","1.6","35","81","49"
"Fowler, Dustin","641583","2018","-4","32.4","0.5","-1.2","0","-0.7","33.1","37","12"
"Gallo, Joey","608336","2018","0","38.5","-0.5","1.5","-0.6","0.4","32.9","39","15"
"Gamel, Ben","592325","2018","-3","47.4","-0.5","-0.6","0.2","-1","32","38","18"
"García, Avisaíl","541645","2018","5","45.3","-0.3","-0.4","0.4","-0.3","32.3","64","29"
"Gardner, Brett","458731","2018","0","52.1","0.2","0","0.3","0.5","34.2","71","37"
"González, Carlos","471865","2018","3","43.3","0.3","2.2","-2.3","0.2","33.3","60","26"
"Gordon, Alex","460086","2018","2","53.2","-0.7","-0.7","0.6","-0.8","31.9","77","41"
"Granderson, Curtis","434158","2018","-4","41","-0.5","0.1","0.3","-0.1","32.5","39","16"
"Grichuk, Randal","545341","2018","7","64.8","1.1","-1.4","0.8","0.5","33","54","35"
"Grossman, Robbie","543257","2018","-2","37.1","-0.7","-0.4","0.1","-0.9","31.4","35","13"
"Gómez, Carlos","460576","2018","1","52","-0.1","0.2","0.2","0.3","33.3","50","26"
"Hamilton, Billy","571740","2018","13","59.8","1.1","0.6","0.1","1.7","35.2","97","58"
"Haniger, Mitch","571745","2018","-3","45.8","-0.5","0","0.3","-0.2","33.2","83","38"
"Happ, Ian","664023","2018","-3","41.5","-0.6","0.4","-0.7","-0.9","32.4","41","17"
"Harper, Bryce","547180","2018","-10","26.8","-1","-1","-0.2","-2.2","30.9","56","15"
"Heredia, Guillermo","628338","2018","5","56.9","0.3","1.5","-1.1","0.7","34.2","58","33"
"Hernández, Gorkys","491676","2018","2","55.2","0.7","-0.9","0.6","0.4","33.9","58","32"
"Hernández, Teoscar","606192","2018","-4","40","-0.7","0.7","-0.7","-0.7","32.1","60","24"
"Herrera, Odúbel","546318","2018","3","62.5","0.7","1.2","-0.9","1","34.7","80","50"
"Heyward, Jason","518792","2018","4","59.7","1.2","1.1","-0.6","1.7","34.8","62","37"
"Hicks, Aaron","543305","2018","-5","37.3","-1.1","-1.2","0.6","-1.8","32","51","19"
"Hoskins, Rhys","656555","2018","-14","18.9","-3.1","1","-1.6","-3.7","29.1","53","10"
"Inciarte, Ender","542255","2018","15","71.6","1.7","2.6","-0.9","3.3","37.2","81","58"
"Jackson, Austin","457706","2018","-3","39.2","-0.4","-0.4","-0.2","-1.1","32.9","51","20"
"Jankowski, Travis","608671","2018","8","65.8","1.8","-0.8","0.3","1.3","34.5","38","25"
"Jay, Jon","445055","2018","-2","43.1","-0.6","0.3","0.3","0","33.5","58","25"
"Jones, Adam","430945","2018","-14","24.7","-2.9","-0.8","0.2","-3.5","29.7","85","21"
"Jones, JaCoby","592444","2018","4","65.6","-0.4","-0.4","0","-0.8","32.5","64","42"
"Judge, Aaron","592450","2018","-1","47.4","-2.3","-0.9","-0.2","-3.5","29.8","38","18"
"Kemp, Matt","461314","2018","-6","27.8","-1.6","-1.3","0.2","-2.8","30.3","36","10"
"Kemp, Tony","643393","2018","-1","43.9","-0.7","0.6","0.1","-0.1","33","41","18"
"Kepler, Max","596146","2018","9","61.1","0.7","-0.6","0.7","0.7","33.7","72","44"
"Kiermaier, Kevin","595281","2018","6","65.8","1.1","0.7","0","1.8","35.4","38","25"
"Mancini, Trey","641820","2018","-8","28.3","-1.9","0.4","-1.1","-2.7","30.2","53","15"
"Margot, Manuel","622534","2018","9","60.9","1.9","1.7","-1","2.5","36.3","69","42"
"Marisnick, Jake","545350","2018","8","79.4","1.7","-0.4","0.3","1.5","35.2","34","27"
"Markakis, Nick","455976","2018","1","47.7","-0.5","0.4","-0.2","-0.2","32.4","88","42"
"Marte, Starling","516782","2018","7","58.4","1.1","-0.2","0.5","1.4","35.4","77","45"
"Martin, Leonys","547982","2018","2","49","0.4","2.3","-1.8","0.9","34.8","51","25"
"Martinez, J.D.","502110","2018","-4","44.4","-1.4","-0.4","-0.1","-1.9","30.4","36","16"
"Maybin, Cameron","457727","2018","3","63","-0.5","0","0.4","-0.1","33.3","46","29"
"Mazara, Nomar","608577","2018","-7","31.4","-1.2","-0.5","0.3","-1.4","31.2","70","22"
"McCutchen, Andrew","457705","2018","-8","36.3","-0.5","-1.8","1.2","-1.1","31.5","80","29"
"Nimmo, Brandon","607043","2018","5","57.1","0.8","-0.7","0.1","0.1","33.1","56","32"
"Ozuna, Marcell","542303","2018","-3","34.3","-0.5","0.3","0.2","0","33.3","70","24"
"Parra, Gerardo","467827","2018","-3","46.2","0.3","1.2","-0.5","0.9","33.8","65","30"
"Pederson, Joc","592626","2018","-7","36.2","-0.4","0.2","-0.6","-0.8","32","47","17"
"Peralta, David","444482","2018","-2","46.9","-0.6","0","0.1","-0.5","32.6","64","30"
"Pham, Tommy","502054","2018","2","47.5","0.2","0.1","-0.4","-0.2","33.3","59","28"
"Pillar, Kevin","607680","2018","0","47.2","-0.4","-0.3","0.7","-0.1","33.6","89","42"
"Piscotty, Stephen","572039","2018","-2","46.1","-0.3","-0.7","0.6","-0.5","32.4","76","35"
"Polanco, Gregory","570256","2018","-2","38.3","0.8","-0.2","0.3","0.9","33.7","60","23"
"Pollock, AJ","572041","2018","5","57.9","0.3","-1.3","0.3","-0.7","33.2","57","33"
"Puig, Yasiel","624577","2018","-5","31.3","-1.4","-1.9","1.1","-2.2","30.5","48","15"
"Reddick, Josh","502210","2018","9","53.8","0.7","0.9","0.8","2.4","35.2","65","35"
"Renfroe, Hunter","592669","2018","-1","47.1","-0.2","1","-0.7","0.2","33.7","51","24"
"Reyes, Victor","622682","2018","-2","57.6","-0.8","-1","-0.1","-1.8","31.6","33","19"
"Rosario, Eddie","592696","2018","0","41","0.2","-0.1","0.4","0.5","33.7","61","25"
"Schebler, Scott","594988","2018","0","44.4","1.1","-0.1","0.1","1","33.9","45","20"
"Schwarber, Kyle","656941","2018","-8","30.2","-1.6","-1","0.2","-2.4","29.8","53","16"
"Smith, Mallex","605480","2018","0","47.3","1.3","-0.5","0.6","1.4","34.4","74","35"
"Soto, Juan","665742","2018","-6","33.9","0","0.7","-0.4","0.3","33.3","62","21"
"Souza Jr., Steven","519306","2018","2","45","0.3","0.3","0","0.6","33.5","40","18"
"Span, Denard","452655","2018","-6","34.4","0.1","-1.5","0.9","-0.6","32.7","61","21"
"Springer, George","543807","2018","0","40.4","0.4","0.7","-0.7","0.4","33.6","52","21"
"Stanton, Giancarlo","519317","2018","3","50","-0.2","-0.8","0.7","-0.3","31.9","36","18"
"Strange-Gordon, Dee","543829","2018","0","54.3","0.7","-0.4","0.5","0.8","35.1","35","19"
"Taylor, Michael A.","572191","2018","6","60","1","-0.3","0.1","0.8","34.4","60","36"
"Trout, Mike","545361","2018","3","55.7","-0.1","-1.9","0.8","-1.2","32.7","61","34"
"Upton, Justin","457708","2018","-8","36.1","-0.3","-1.2","0.9","-0.6","31.5","72","26"
"Williams, Nick","608384","2018","-5","34.1","-0.9","-2","0","-2.9","29.9","44","15"
"Yelich, Christian","592885","2018","0","47.1","-0.5","-1.6","0.4","-1.7","31","70","33"